City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Batagay-Alyta,RU,67.8006,130.4114,25.25,90,100,2.62,overcast clouds
80,Butaritari,KI,3.0707,172.7902,82.8,76,39,15.93,scattered clouds
81,Ballina,AU,-28.8667,153.5667,62.01,94,100,4.52,overcast clouds
82,Kruisfontein,ZA,-34.0033,24.7314,60.01,88,100,3.0,overcast clouds
83,Urumqi,CN,43.801,87.6005,71.6,49,0,4.47,clear sky
84,East London,ZA,-33.0153,27.9116,62.6,88,75,13.8,light rain
85,Excelsior Springs,US,39.3392,-94.2261,69.01,49,90,10.36,overcast clouds
86,Nea Peramos,GR,38.0076,23.423,75.2,43,0,8.05,clear sky
87,Sayan,PE,-11.1361,-77.1933,78.8,48,32,9.62,scattered clouds
88,Zhanaozen,KZ,43.3,52.8,65.14,37,1,1.9,clear sky
89,Pavilosta,LV,56.8879,21.1859,41.0,93,0,5.75,clear sky
90,Severo-Kurilsk,RU,50.6789,156.125,38.08,88,100,8.68,overcast clouds
91,Lingao,CN,19.9103,109.6859,77.76,82,6,4.43,clear sky
92,Brigantine,US,39.4101,-74.3646,57.2,51,75,14.97,broken clouds
93,Baracoa,CU,20.3467,-74.4958,84.76,62,72,8.14,broken clouds
94,Liverpool,GB,53.4106,-2.9779,59.0,94,75,10.36,broken clouds
95,Kungurtug,RU,50.5994,97.5228,37.99,80,6,3.27,clear sky
96,Hasaki,JP,35.7333,140.8333,68.0,77,75,12.66,broken clouds
97,Tautira,PF,-17.7333,-149.15,84.2,65,40,11.5,scattered clouds
98,Katsuura,JP,35.1333,140.3,69.01,85,100,8.99,overcast clouds
99,Ostrovnoy,RU,68.0531,39.5131,34.99,83,100,10.0,overcast clouds
100,Nanortalik,GL,60.1432,-45.2371,37.63,76,7,14.34,clear sky
101,Hithadhoo,MV,-0.6,73.0833,84.72,69,7,1.95,clear sky
102,Saint-Philippe,RE,-21.3585,55.7679,71.6,68,0,8.05,clear sky
103,Ilulissat,GL,69.2167,-51.1,33.8,64,75,4.61,broken clouds
104,Vayalar,IN,9.7,76.3333,78.8,94,75,2.3,mist
105,Grindavik,IS,63.8424,-22.4338,42.8,42,20,17.27,few clouds
106,Iqaluit,CA,63.7506,-68.5145,30.2,86,90,9.22,overcast clouds
